Title,Ingredients
risoles rogut ayam,"isian , kentang , kukus tumbuk halus , wortel , diserut kasar , dada ayam rebus , suwir halus , tepung terigu , lada , garam , susu cair , bawang putih , haluskan , keju cheddar parut , minyak goreng , kulit , tepung terigu , margarine , dicairkan , telur , garam , air , tepung panir membalur"
ayam masak kicap ala malay,"potong ayam , bawang bombai , cabai keriting merah , cabai rawit , cabai lalap , tomato , kecap , saos sambal , saos tiram , kunyit , garam , kaldu bubuk totole ganti kaldu bubul"
ayam tepung,"ayam , tepung terigu , royco , bawang putih , lada , jahe , kunyit , garam , minyak goreng , telur ayam ambil putih nya"
ayam goreng bakar kecap,"ayam , minyak , bumbu kuning halus , bawang putih , kunyit , lengkuas , ketumbar , merica , air , garam kaldu bubuk , bumbu bakar , kecap , mentega , sambel , bawang merah , bawang putih , cabe hijau , cabe rawit , tomat hijau , garam gula"
somay ayam bumbu kacang,"dada ayam , kulit lumpia instan , terigu , kanji , bawang putih , merica bubuk , royco , bumbu kacang , kacang , gula merah , royco , gula pasir , cabe , larutan maizena , kecap , pelengkap , gubis , telur puyuh , tahu putih"
ayam kecap cabe ijo,"ayam potong , bersihkan , cabe ijo , potong serong , bawang bombai , potong , bawang putih , cincang , garam , gula pasir , lada , kaldu bubuk pake royco , kecap manis pake bango , bumbu ungkep , bawang merah , bawang putih , kunyit , jahe , lengkuas , geprek , serai , ketumbar , kemiri , daun jeruk , garam"
ayam masak kluwek,"kluwek , ayam paha , sayap ayam , kemiri , cabe merah , bawang merah , bawang putih , jahe , keping asam kering , bubuk kunyit , garam , gula , penyedap , air"
ayam goreng telur,"potong paha ayam ayam potong_potong , bawang putih , daun jeruk , daun salam , serai , garam , biji ketumbar , kunyit , telur ayam , air"
ayam goreng pemalas,"ayam , bumbu ayam goreng sajiku , lengkuas , makan minyak goreng , air matang"
nugget ayam+sayur,"telur , ayam , wortel , tepung trigu , tapioka , bawang putih , bawang merah , daun bawang+seledri , lada , tepung panir , royko"
chicken hainan & nasi hainan simple magic com,"ayam hainan , paha ayam utuh paha atas paha , bawang putih , jahe , serai , daun salam , jeruk nipis lemon , bawang bombai , kecap ikan , minyak wijen , sejumput garam , air matang , kaldu ayam bubuk block , pake , nasi hainan , beras , bawang putih , jahe , serai digeprek , daun salam , minyak wijen , sejumput garam , kuah rebusan bumbu chicken hainan , margarin , saus hainan , bawang putih parut , kecap manis , kecap asin , minyak wijen , tambahan pelengkap , ketimun , daun bawang , bawang goreng , emping"
ayam rica rica super pedes,"ayam potong , bumbu , cabai merah , cabai rawit , bawang putih , bawang merah , kemiri , merica bubuk , biji ketumbar , gula merah , kecap manis , garam , penyedap , kunyit , jahe , lengkuas , serai , daun salam , daun jeruk , minyak goreng , air"
ayam goreng,"ayam rebus sebentar ngurangin lemaknya , bumbu , bawang putih geprek , bawang merah geprek , kunyit , biji ketumbar , daun salam , daun jeruk , serai geprek , garam"
ayam cabe ijo,"ayam broiler potong , air jeruk nipis , garam , minyak goreng utk menumis , daun jeruk , serai geprek , bumbu halus , bawang merah , bawang putih , cabe hujau , cabe rawit hijau , jahe , kunyit , kemiri , garam gula pasir"
ayam fillet asam manis,"dada ayam tulang , tepung terigu , tepung maizena , putih telur , saus tomat , saus tiram , bawang bombai , bawang putih cincang halus , garam , gula pasir , merica bubuk"
